Altium Designer Pick and Place Locations
D:\Mesut_Proj\CCD CAMERA-20201001T195202Z-001\Hardware\Sources\CCD_CAM_BOARD\CCD_CAM_BOARD\Project Outputs for CCD_CAM_BOARD\Pick Place for CCD_CAM_BOARD_PCB_v3.txt

========================================================================================================================
File Design Information:

Date:       09/11/20
Time:       09:02
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                       Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                     
J3         FTSH-105-XX-X-DV              TopLayer    SAMTEC_FTSH-105-XX-X-DV -270.000      -3720.480     360      "Connector Header Surface Mount 10 position 0.050 (1.27mm)"                                                                                     
J8         CONN                          BottomLayer CCD_SENSOR_PIN          -1850.394     -1601.575     90       "11x2 Connector"                                                                                                                                
L5         744222                        TopLayer    IND_744222_3D           -2606.669     -270.787      180      "Würth CMC 1MH 800MA 2LN 6 KOHM SMD"                                                                                                            
FB13       "330R @ 100MHz"               TopLayer    FB0603                  -2033.000     -169.000      270      "FERRITE BEAD 330 OHM 0603 1LN"                                                                                                                 
U21        SN65HVD232Q                   TopLayer    SOIC8                   -1589.000     -250.000      360      "IC TRANSCEIVER HALF 1/1 8SOIC"                                                                                                                 
U18        SN65HVD232Q                   TopLayer    SOIC8                   -2239.000     -268.000      180      "IC TRANSCEIVER HALF 1/1 8SOIC"                                                                                                                 
DO NOT PLACE R88        RES_DNP_0603                  TopLayer    RES0603                 -1202.000     -401.000      360      ""                                                                                                                                              
R87        120R                          TopLayer    RES0603                 -967.000      -248.000      90       "RES SMD 120 OHM 1% 1/10W 0603"                                                                                                                 
DO NOT PLACE R86        RES_DNP_0603                  TopLayer    RES0603                 -1207.000     -98.000       360      ""                                                                                                                                              
DO NOT PLACE R81        RES_DNP_0603                  TopLayer    RES0603                 -2502.000     -119.000      180      ""                                                                                                                                              
R80        120R                          TopLayer    RES0603                 -2837.000     -268.000      270      "RES SMD 120 OHM 1% 1/10W 0603"                                                                                                                 
DO NOT PLACE R79        RES_DNP_0603                  TopLayer    RES0603                 -2502.000     -430.000      180      ""                                                                                                                                              
